"","x"
"1",4.1769548067382e-05
"2",4.9927517945606e-05
"3",3.8149089592331e-05
"4",2.316576932251e-05
"5",7.4095629500485e-05
"6",4.7824360601858e-05
"7",4.7678073695423e-05
"8",3.6669480806639e-05
"9",4.3450033677539e-05
"10",3.432398005646e-05
"11",3.8897455271962e-05
"12",3.2831066290977e-05
"13",6.1999324416952e-05
"14",0.000163987358040853
"15",8.3135828417869e-05
"16",4.98809956256e-05
"17",3.7464105302049e-05
"18",5.5286240851144e-05
"19",3.8377749783121e-05
"20",7.7539428922734e-05
"21",5.5582043557017e-05
"22",5.2874828320827e-05
"23",3.5714102857321e-05
"24",7.0015003442629e-05
"25",9.0933573825188e-05
"26",3.783789377687e-05
"27",2.4503845864681e-05
"28",6.1728694467937e-05
"29",4.6001530307139e-05
"30",4.5167897041268e-05
"31",5.2514370526732e-05
"32",5.1342419978644e-05
"33",2.4530409285447e-05
"34",2.7166155467232e-05
"35",2.5848088577713e-05
"36",2.8889767492614e-05
"37",4.7519780019244e-05
"38",4.7680505196889e-05
"39",4.9786687701573e-05
"40",2.2347028002509e-05
"41",2.8149783714578e-05
"42",2.8630269881538e-05
"43",3.2367017405498e-05
"44",5.1564652155273e-05
"45",2.0969778259164e-05
"46",2.8785926382743e-05
"47",2.3579400424236e-05
"48",1.7472249228315e-05
"49",2.0170668549043e-05
"50",3.1040014212869e-05
"51",3.0615741091431e-05
"52",4.7420407682795e-05
"53",4.761241929267e-05
"54",4.454620916261e-05
"55",3.224158007805e-05
"56",1.0143038023891e-05
"57",1.4142292222477e-05
"58",3.7083676608212e-05
"59",1.4522389775121e-05
"60",2.6933486736405e-05
"61",1.5076519376879e-05
"62",2.2923735482076e-05
"63",5.600435092258e-06
"64",1.9623864051225e-05
"65",2.1512682127178e-05
"66",2.0268796399403e-05
"67",1.8148554305249e-05
"68",1.8874772622002e-05
"69",3.2857923733687e-05
"70",1.9189456916644e-05
"71",2.0879640584695e-05
"72",3.1972418016796e-05
"73",2.4875672202834e-05
"74",2.371247892187e-05
"75",2.1571085432098e-05
"76",4.7316455385351e-05
"77",2.3422369482822e-05
"78",1.8496579250767e-05
"79",2.5476206743812e-05
"80",2.397394868743e-06
"81",1.1132295773559e-05
"82",2.6868730507841e-05
"83",2.0673842079871e-05
"84",2.5667187958993e-05
"85",1.3695449565804e-05
"86",1.3042321619801e-05
"87",3.1233345323756e-05
"88",5.0229824457691e-05
"89",4.2663206669014e-05
"90",3.906014316534e-05
"91",4.1337057870019e-05
"92",6.5373772114768e-05
"93",8.7269360343433e-05
"94",6.7914944666194e-05
"95",4.8193815864819e-05
"96",4.5188299371131e-05
"97",3.6187581800009e-05
"98",1.7976851579693e-05
"99",2.224043719612e-05
"100",3.8652286780679e-05
"101",8.1400230975545e-05
"102",3.5044627089833e-05
"103",3.6187867210443e-05
"104",2.887218891806e-05
"105",4.8942222978768e-05
"106",1.8599763984233e-05
"107",2.0155409214144e-05
"108",2.422698092481e-05
"109",2.316242357454e-05
"110",3.0919987235802e-05
"111",2.8054831408632e-05
"112",1.8680552535462e-05
"113",3.0709162324941e-05
"114",1.9761335246779e-05
"115",2.9755469072642e-05
"116",4.0375580676304e-05
"117",2.5884069124642e-05
"118",5.5631350008963e-05
"119",9.2962078819002e-05
"120",3.7395173850821e-05
"121",3.119601639521e-05
"122",3.5020919386864e-05
"123",4.2770565601163e-05
"124",6.5424775548893e-05
"125",3.9442061203601e-05
"126",6.598113700113e-05
"127",2.942154095952e-05
"128",5.6177829096127e-05
"129",3.3717024844721e-05
"130",2.0882695830872e-05
"131",1.809339064917e-05
"132",3.6165968354008e-05
"133",3.0972782288761e-05
"134",2.7646429576534e-05
"135",3.986870845168e-05
"136",3.3956540163351e-05
"137",5.0348366848412e-05
"138",3.0134201179339e-05
"139",2.7288105160002e-05
"140",2.2205398966378e-05
"141",4.3676391684876e-05
"142",2.8196400097409e-05
"143",2.540673866668e-05
"144",4.4138895125609e-05
"145",7.6248771395081e-05
"146",0.000166895832145404
"147",8.6211306012649e-05
"148",7.4058193227852e-05
"149",8.2122244819975e-05
"150",0.000122232135847868
"151",7.6663589171401e-05
"152",7.185558355344e-05
"153",0.000110102314980206
"154",0.000519785377674258
"155",0.000164697299245737
"156",0.000433633007365374
"157",0.000221237044946699
"158",0.000146398904360035
"159",0.000166615228227882
"160",7.7149217855678e-05
"161",7.397236973668e-05
"162",3.5940562217582e-05
"163",3.7742400848382e-05
"164",7.8488983577934e-05
"165",3.1557301295007e-05
"166",4.9777647267024e-05
"167",6.0246359955508e-05
"168",3.3411877159916e-05
"169",5.5738449318093e-05
"170",3.7099113477303e-05
"171",2.9836791683947e-05
"172",4.2986365051213e-05
"173",4.2963582022964e-05
"174",7.6962995850037e-05
"175",7.955346821132e-05
"176",3.3013627261497e-05
"177",9.2234076089698e-05
"178",4.6938359150741e-05
"179",3.2902292455143e-05
"180",9.6415814257971e-05
"181",7.6699979101753e-05
"182",6.8606805445105e-05
"183",5.5389231333426e-05
"184",8.5085529370733e-05
"185",4.1029806012504e-05
"186",9.8053619894043e-05
"187",0.000326994789914916
"188",0.000100520362695875
"189",0.000142554690940336
"190",8.8266065720791e-05
"191",0.000130346244780013
"192",7.1704794330483e-05
"193",5.0815787245711e-05
"194",3.3766846643948e-05
"195",3.2087963614782e-05
"196",5.7638129156228e-05
"197",8.2148539996175e-05
"198",9.2202172110769e-05
"199",0.000182399912797894
"200",6.7300180264165e-05
"201",3.4629198494608e-05
"202",3.5011848776261e-05
"203",4.0264723173831e-05
"204",3.2915854987653e-05
"205",4.2208892749484e-05
"206",6.5970388233497e-05
"207",0.000162745749182984
"208",4.0463201470661e-05
"209",0.000105263852258519
"210",6.1468925398452e-05
"211",7.5876732564668e-05
"212",0.000119451500956983
"213",0.000147992633318347
"214",0.00012188961176749
"215",4.8440045848589e-05
"216",8.3549087575512e-05
"217",9.5946734649418e-05
"218",5.101965646721e-05
"219",9.284475036722e-05
"220",6.9283366596257e-05
"221",6.0915626944055e-05
"222",4.8691521773811e-05
"223",0.000103124206115154
"224",0.000108643889823957
"225",1.7954741778537e-05
"226",3.7987737539915e-05
"227",5.8857325383369e-05
"228",6.3084468335654e-05
"229",5.8010842535218e-05
"230",2.9311901477987e-05
"231",6.0984130497947e-05
"232",7.969784349663e-05
"233",7.330596535722e-05
"234",1.754343910013e-05
"235",4.5419589236667e-05
"236",3.2184800819012e-05
"237",4.5249783576101e-05
"238",0.000116874380462089
"239",2.1546849454991e-05
"240",4.0337825995376e-05
"241",3.2025230352362e-05
"242",3.0118499327099e-05
